stage	name	categories	calls	total_us	avg_us	max_us
prefill	void at::native::(anonymous namespace)::IndexVectorizedKernel<at::native::(anonymous namespace)::GPUIndexKernel<c10::Half, 1, true, 3, false, (at::native::(anonymous namespace)::IndexKernelIOType)0>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(unsigned int, unsigned int, unsigned int)#1}, at::native::(anonymous namespace)::GPUIndexKernel<c10::Half, 1, true, 3, false, (at::native::(anonymous namespace)::IndexKernelIOType)0>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(unsigned int, unsigned int, unsigned int)#2}>(long, long, long, int, at::native::(anonymous namespace)::GPUIndexKernel<c10::Half, 1, true, 3, false, (at::native::(anonymous namespace)::IndexKernelIOType)0>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(unsigned int, unsigned int, unsigned int)#1}, at::native::(anonymous namespace)::GPUIndexKernel<c10::Half, 1, true, 3, false, (at::native::(anonymous namespace)::IndexKernelIOType)0>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(unsigned int, unsigned int, unsigned int)#2})	kernel	1	7.840	7.840	7.840
prefill	write_req_to_token_pool_triton	kernel	1	6.801	6.801	6.801
prefill	void musa::dnn::unary::kernel_unary<__half, musa::dnn::unary::CastOp, float, float, __half, 128>(float*, __half const*, unsigned long, float, float, void const*, void const*, musa::dnn::ParamType, musa::dnn::ParamType, float, float, float)	kernel	1	5.480	5.480	5.480
prefill	compute_position_kernel	kernel	1	4.320	4.320	4.320
prefill	void at::native::(anonymous namespace)::IndexSelectVectorKernel<__half, long, true, 128>(__half*, long*, __half*, long, long, long, long, unsigned int)	kernel	1	3.880	3.880	3.880
prefill	create_flashinfer_kv_indices_triton	kernel	1	2.640	2.640	2.640
decode	void musa::dnn::(anonymous namespace)::batch_gemv_row_continuous_kernel<__half, (musa::dnn::AlignAttr)1, 128, 64, 1024, false, true, 128>(__half*, __half const*, __half const*, __half const*, __half const*, int, int, int, int, long, int, long, int, long, int, long, float, float, float)	kernel	109	8848.298	81.177	844.188
decode	void musa::dnn::(anonymous namespace)::batch_gemv_row_continuous_kernel<__half, (musa::dnn::AlignAttr)1, 256, 32, 1024, false, true, 128>(__half*, __half const*, __half const*, __half const*, __half const*, int, int, int, int, long, int, long, int, long, int, long, float, float, float)	kernel	36	3557.635	98.823	100.883
decode	musaLaunchKernel	privateuse1_runtime	408	2091.105	5.125	23.402
decode	_fwd_grouped_kernel_stage1	kernel	36	1042.355	28.954	29.081
decode	musaDeviceSynchronize	privateuse1_runtime	2	711.830	355.915	708.024
decode	muLaunchKernel	privateuse1_driver	147	698.608	4.752	9.208
decode	void LayerNormGlobalKernelVlen<__half, float, 1024, 1, 8>(__half*, __half*, __half const*, unsigned long, unsigned long, float)	kernel	72	642.666	8.926	9.280
decode	void musa::dnn::LayerNormGlobalKernelVlen<__half, float, __half, float, 64, 1, 8, (musa::dnn::NormType)1, false>(__half*, float*, float*, __half const*, __half const*, __half const*, unsigned long, unsigned long, float, float)	kernel	72	525.779	7.302	9.040
decode	void at::native::(anonymous namespace)::IndexVectorizedKernel<at::native::(anonymous namespace)::GPUIndexKernel<c10::Half, 1, true, 3, true, (at::native::(anonymous namespace)::IndexKernelIOType)0>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(unsigned int, unsigned int, unsigned int)#1}, at::native::(anonymous namespace)::GPUIndexKernel<c10::Half, 1, true, 3, true, (at::native::(anonymous namespace)::IndexKernelIOType)0>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(unsigned int, unsigned int, unsigned int)#2}>(long, long, long, int, at::native::(anonymous namespace)::GPUIndexKernel<c10::Half, 1, true, 3, true, (at::native::(anonymous namespace)::IndexKernelIOType)0>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(unsigned int, unsigned int, unsigned int)#1}, at::native::(anonymous namespace)::GPUIndexKernel<c10::Half, 1, true, 3, true, (at::native::(anonymous namespace)::IndexKernelIOType)0>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(unsigned int, unsigned int, unsigned int)#2})	kernel	72	502.617	6.981	7.960
decode	triton_poi_fused_add_cat_index_select_mul_split_sub_unsqueeze_view_0	kernel	36	346.129	9.615	9.840
decode	triton_poi_fused_add_cat_index_select_mul_split_sub_unsqueeze_view_1	kernel	36	300.695	8.353	8.840
decode	void musa::dnn::(anonymous namespace)::KernelSwiGlu<__half, musa::dnn::FastDivmodU32>(__half*, __half const*, long, long, musa::dnn::FastDivmodU32)	kernel	36	281.852	7.829	8.161
decode	_fwd_kernel_stage2	kernel	36	179.807	4.995	5.560
decode	void musa::dnn::(anonymous namespace)::ReduceIndicesColumnKernel<float, float, int, float, long, musa::dnn::ReduceIndicesType<float, int>, musa::dnn::ReduceIndicesOp<float, float, int, float, long, musa::dnn::ReduceIndicesType<float, int>, (musa::dnn::ReduceMode)16>, 4096, 4, false>(float*, long*, float const*, long, int, musa::dnn::ReduceIndicesOp<float, float, int, float, long, musa::dnn::ReduceIndicesType<float, int>, (musa::dnn::ReduceMode)16>, int*)	kernel	1	36.562	36.562	36.562
decode	get_num_kv_splits_triton	kernel	1	16.000	16.000	16.000
decode	void musa::dnn::LayerNormGlobalKernelVlen<__half, float, __half, float, 128, 4, 8, (musa::dnn::NormType)1, false>(__half*, float*, float*, __half const*, __half const*, __half const*, unsigned long, unsigned long, float, float)	kernel	1	10.120	10.120	10.120
decode	void musa::dnn::unary::kernel_unary<long, musa::dnn::unary::CastOp, long, int, long, 128>(int*, long const*, unsigned long, long, long, void const*, void const*, musa::dnn::ParamType, musa::dnn::ParamType, float, float, float)	kernel	2	9.760	4.880	5.920
decode	void at::native::(anonymous namespace)::IndexElementwiseKernel<at::native::(anonymous namespace)::GPUIndexKernel<int, 1, true, 2, true, (at::native::(anonymous namespace)::IndexKernelIOType)3>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(unsigned int, unsigned int, unsigned int)#1}>(long, long, long, at::native::(anonymous namespace)::GPUIndexKernel<int, 1, true, 2, true, (at::native::(anonymous namespace)::IndexKernelIOType)3>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(unsigned int, unsigned int, unsigned int)#1})	kernel	1	7.000	7.000	7.000
decode	void musa::dnn::ScanPartSumShflKernel<long, long, long, musa::dnn::ScanOp<musa::dnn::DeviceTensor<unsigned int, musa::dnn::FastDivmodU32>, long, long, long, (musa::dnn::ScanMode)0, (musa::dnn::ScanOpType)0>, 1024, musa::dnn::DeviceTensor<unsigned int, musa::dnn::FastDivmodU32>, 1>(void*, void*, musa::dnn::DeviceTensor<unsigned int, musa::dnn::FastDivmodU32>, long, int, long)	kernel	1	6.040	6.040	6.040
decode	void musa::dnn::unary::kernel_unary<__half, musa::dnn::unary::CastOp, float, float, __half, 128>(float*, __half const*, unsigned long, float, float, void const*, void const*, musa::dnn::ParamType, musa::dnn::ParamType, float, float, float)	kernel	1	5.280	5.280	5.280
decode	create_flashinfer_kv_indices_triton	kernel	1	5.120	5.120	5.120
decode	void musa::dnn::unary::kernel_unary<long, musa::dnn::unary::AddOp, long, long, long, 128>(long*, long const*, unsigned long, long, long, void const*, void const*, musa::dnn::ParamType, musa::dnn::ParamType, float, float, float)	kernel	1	5.000	5.000	5.000
decode	void musa::dnn::unary::kernel_unary<int, musa::dnn::unary::AddOp, int, int, int, 128>(int*, int const*, unsigned long, int, int, void const*, void const*, musa::dnn::ParamType, musa::dnn::ParamType, float, float, float)	kernel	1	4.880	4.880	4.880
decode	void musa::dnn::unary::kernel_unary<long, musa::dnn::unary::IdentityOp, long, long, long, 128>(long*, long const*, unsigned long, long, long, void const*, void const*, musa::dnn::ParamType, musa::dnn::ParamType, float, float, float)	kernel	1	4.160	4.160	4.160
decode	void at::native::(anonymous namespace)::IndexSelectVectorKernel<__half, long, true, 128>(__half*, long*, __half*, long, long, long, long, unsigned int)	kernel	1	3.881	3.881	3.881
decode	triton_poi_fused_clamp_sub_0	kernel	1	1.920	1.920	1.920
decode	musaDeviceCanAccessPeer	privateuse1_runtime	1	0.989	0.989	0.989
all	musa_asm_hhhhssgemm_nt_tce_128_32x128B128_epilogue	kernel	144	11415.698	79.276	150.805
all	void musa::dnn::(anonymous namespace)::batch_gemv_row_continuous_kernel<__half, (musa::dnn::AlignAttr)1, 128, 64, 1024, false, true, 128>(__half*, __half const*, __half const*, __half const*, __half const*, int, int, int, int, long, int, long, int, long, int, long, float, float, float)	kernel	110	9695.966	88.145	847.668
all	musaLaunchKernel	privateuse1_runtime	781	4169.231	5.338	23.703
all	void musa::dnn::(anonymous namespace)::batch_gemv_row_continuous_kernel<__half, (musa::dnn::AlignAttr)1, 256, 32, 1024, false, true, 128>(__half*, __half const*, __half const*, __half const*, __half const*, int, int, int, int, long, int, long, int, long, int, long, float, float, float)	kernel	36	3557.635	98.823	100.883
all	musaMemcpyAsync	privateuse1_runtime	13	1679.425	129.187	242.729
all	musaDeviceSynchronize	privateuse1_runtime	5	1433.958	286.792	708.024
all	void LayerNormGlobalKernelVlen<__half, float, 1024, 1, 8>(__half*, __half*, __half const*, unsigned long, unsigned long, float)	kernel	144	1397.052	9.702	11.360
all	muLaunchKernel	privateuse1_driver	258	1305.986	5.062	10.944
all	_fwd_grouped_kernel_stage1	kernel	36	1042.355	28.954	29.081
all	musaLaunchKernelExC	privateuse1_runtime	144	1024.825	7.117	13.936
all	triton_poi_fused_add_cat_index_select_mul_split_sub_unsqueeze_view_0	kernel	72	809.545	11.244	13.241
all	void musa::dnn::LayerNormGlobalKernelVlen<__half, float, __half, float, 64, 1, 8, (musa::dnn::NormType)1, false>(__half*, float*, float*, __half const*, __half const*, __half const*, unsigned long, unsigned long, float, float)	kernel	108	799.470	7.403	9.040
all	_fwd_kernel	kernel	36	760.388	21.122	21.361
all	triton_poi_fused_add_cat_index_select_mul_split_sub_unsqueeze_view_1	kernel	72	687.988	9.555	11.041
all	void musa::dnn::(anonymous namespace)::CopyLastContiguousKernel<8, short, true, musa::dnn::DeviceTensor<unsigned int, musa::dnn::FastDivmodU32>, short, 128>(musa::dnn::DeviceTensor<unsigned int, musa::dnn::FastDivmodU32>, musa::dnn::DeviceTensor<unsigned int, musa::dnn::FastDivmodU32>, long, long, long, long, long, long)	kernel	108	596.379	5.522	7.321
all	void musa::dnn::(anonymous namespace)::KernelSwiGlu<__half, musa::dnn::FastDivmodU32>(__half*, __half const*, long, long, musa::dnn::FastDivmodU32)	kernel	72	594.308	8.254	9.080
all	void at::native::(anonymous namespace)::IndexVectorizedKernel<at::native::(anonymous namespace)::GPUIndexKernel<c10::Half, 2, true, 3, true, (at::native::(anonymous namespace)::IndexKernelIOType)0>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(unsigned int, unsigned int, unsigned int)#1}, at::native::(anonymous namespace)::GPUIndexKernel<c10::Half, 2, true, 3, true, (at::native::(anonymous namespace)::IndexKernelIOType)0>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(unsigned int, unsigned int, unsigned int)#2}>(long, long, long, int, at::native::(anonymous namespace)::GPUIndexKernel<c10::Half, 2, true, 3, true, (at::native::(anonymous namespace)::IndexKernelIOType)0>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(unsigned int, unsigned int, unsigned int)#1}, at::native::(anonymous namespace)::GPUIndexKernel<c10::Half, 2, true, 3, true, (at::native::(anonymous namespace)::IndexKernelIOType)0>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(unsigned int, unsigned int, unsigned int)#2})	kernel	72	512.653	7.120	7.960
all	void at::native::(anonymous namespace)::IndexVectorizedKernel<at::native::(anonymous namespace)::GPUIndexKernel<c10::Half, 1, true, 3, true, (at::native::(anonymous namespace)::IndexKernelIOType)0>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(unsigned int, unsigned int, unsigned int)#1}, at::native::(anonymous namespace)::GPUIndexKernel<c10::Half, 1, true, 3, true, (at::native::(anonymous namespace)::IndexKernelIOType)0>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(unsigned int, unsigned int, unsigned int)#2}>(long, long, long, int, at::native::(anonymous namespace)::GPUIndexKernel<c10::Half, 1, true, 3, true, (at::native::(anonymous namespace)::IndexKernelIOType)0>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(unsigned int, unsigned int, unsigned int)#1}, at::native::(anonymous namespace)::GPUIndexKernel<c10::Half, 1, true, 3, true, (at::native::(anonymous namespace)::IndexKernelIOType)0>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(unsigned int, unsigned int, unsigned int)#2})	kernel	72	502.617	6.981	7.960
all	void musa::dnn::LayerNormGlobalKernelVlen<__half, float, __half, float, 64, 8, 8, (musa::dnn::NormType)1, false>(__half*, float*, float*, __half const*, __half const*, __half const*, unsigned long, unsigned long, float, float)	kernel	36	285.088	7.919	8.960
all	_fwd_kernel_stage2	kernel	36	179.807	4.995	5.560
all	void musa::dnn::(anonymous namespace)::ReduceIndicesColumnKernel<float, float, int, float, long, musa::dnn::ReduceIndicesType<float, int>, musa::dnn::ReduceIndicesOp<float, float, int, float, long, musa::dnn::ReduceIndicesType<float, int>, (musa::dnn::ReduceMode)16>, 4096, 4, false>(float*, long*, float const*, long, int, musa::dnn::ReduceIndicesOp<float, float, int, float, long, musa::dnn::ReduceIndicesType<float, int>, (musa::dnn::ReduceMode)16>, int*)	kernel	2	73.963	36.981	37.401
all	Memcpy HtoD (Pageable -> Device)	gpu_memcpy	13	33.881	2.606	3.120
all	void musa::dnn::LayerNormGlobalKernelVlen<__half, float, __half, float, 128, 4, 8, (musa::dnn::NormType)1, false>(__half*, float*, float*, __half const*, __half const*, __half const*, unsigned long, unsigned long, float, float)	kernel	2	21.000	10.500	10.880
