index	stage	ts_us	relative_ts_us	dur_us	cat	name	pid	tid	external_id	correlation	ph
1860	decode	4352586495428.225	1716469.6508789062	5.8	kernel	void musa::dnn::LayerNormGlobalKernelVlen<__half, float, __half, float, 64, 1, 8, (musa::dnn::NormType)1, false>(__half*, float*, float*, __half const*, __half const*, __half const*, unsigned long, unsigned long, float, float)	0	0	7198	145308	X
1861	decode	4352586495620.066	1716661.4916992188	5.064	privateuse1_driver	muLaunchKernel	31003	31003	7210	145329	X
1862	decode	4352586495663.423	1716704.8486328125	4.148	privateuse1_driver	muLaunchKernel	31003	31003	7212	145345	X
1863	decode	4352586495663.793	1716705.21875	9.52	kernel	triton_poi_fused_add_cat_index_select_mul_split_sub_unsqueeze_view_0	0	0	7210	145329	X
1864	decode	4352586495682.153	1716723.5786132812	8.601	kernel	triton_poi_fused_add_cat_index_select_mul_split_sub_unsqueeze_view_1	0	0	7212	145345	X
1865	decode	4352586495841.494	1716882.919921875	6.165	privateuse1_runtime	musaLaunchKernel	31003	31003	7221	145360	X
1866	decode	4352586495868.809	1716910.2348632812	4.612	privateuse1_runtime	musaLaunchKernel	31003	31003	7227	145369	X
1867	decode	4352586495883.92	1716925.345703125	7.56	kernel	void at::native::(anonymous namespace)::IndexVectorizedKernel<at::native::(anonymous namespace)::GPUIndexKernel<c10::Half, 1, true, 3, true, (at::native::(anonymous namespace)::IndexKernelIOType)0>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(unsigned int, unsigned int, unsigned int)#1}, at::native::(anonymous namespace)::GPUIndexKernel<c10::Half, 1, true, 3, true, (at::native::(anonymous namespace)::IndexKernelIOType)0>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(unsigned int, unsigned int, unsigned int)#2}>(long, long, long, int, at::native::(anonymous namespace)::GPUIndexKernel<c10::Half, 1, true, 3, true, (at::native::(anonymous namespace)::IndexKernelIOType)0>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(unsigned int, unsigned int, unsigned int)#1}, at::native::(anonymous namespace)::GPUIndexKernel<c10::Half, 1, true, 3, true, (at::native::(anonymous namespace)::IndexKernelIOType)0>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(unsigned int, unsigned int, unsigned int)#2})	0	0	7221	145360	X
1868	decode	4352586495893.68	1716935.1059570312	6.281	kernel	void at::native::(anonymous namespace)::IndexVectorizedKernel<at::native::(anonymous namespace)::GPUIndexKernel<c10::Half, 1, true, 3, true, (at::native::(anonymous namespace)::IndexKernelIOType)0>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(unsigned int, unsigned int, unsigned int)#1}, at::native::(anonymous namespace)::GPUIndexKernel<c10::Half, 1, true, 3, true, (at::native::(anonymous namespace)::IndexKernelIOType)0>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(unsigned int, unsigned int, unsigned int)#2}>(long, long, long, int, at::native::(anonymous namespace)::GPUIndexKernel<c10::Half, 1, true, 3, true, (at::native::(anonymous namespace)::IndexKernelIOType)0>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(unsigned int, unsigned int, unsigned int)#1}, at::native::(anonymous namespace)::GPUIndexKernel<c10::Half, 1, true, 3, true, (at::native::(anonymous namespace)::IndexKernelIOType)0>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(unsigned int, unsigned int, unsigned int)#2})	0	0	7227	145369	X
1869	decode	4352586496056.585	1717098.0107421875	4.946	privateuse1_driver	muLaunchKernel	31003	31003		145386	X
1870	decode	4352586496097.207	1717138.6328125	29.081	kernel	_fwd_grouped_kernel_stage1	0	0		145386	X
1871	decode	4352586496156.084	1717197.509765625	4.399	privateuse1_driver	muLaunchKernel	31003	31003		145395	X
1872	decode	4352586496207.331	1717248.7568359375	4.84	kernel	_fwd_kernel_stage2	0	0		145395	X
1873	decode	4352586496246.194	1717287.6196289062	5.702	privateuse1_runtime	musaLaunchKernel	31003	31003	7238	145410	X
1874	decode	4352586496293.054	1717334.4799804688	36.921	kernel	void musa::dnn::(anonymous namespace)::batch_gemv_row_continuous_kernel<__half, (musa::dnn::AlignAttr)1, 128, 64, 1024, false, true, 128>(__half*, __half const*, __half const*, __half const*, __half const*, int, int, int, int, long, int, long, int, long, int, long, float, float, float)	0	0	7238	145410	X
1875	decode	4352586496296.405	1717337.8305664062	6.503	privateuse1_runtime	musaLaunchKernel	31003	31003	7247	145416	X
1876	decode	4352586496332.695	1717374.1206054688	9.0	kernel	void LayerNormGlobalKernelVlen<__half, float, 1024, 1, 8>(__half*, __half*, __half const*, unsigned long, unsigned long, float)	0	0	7247	145416	X
1877	decode	4352586496367.315	1717408.7407226562	4.035	privateuse1_runtime	musaLaunchKernel	31003	31003	7253	145433	X
1878	decode	4352586496420.538	1717461.9638671875	145.805	kernel	void musa::dnn::(anonymous namespace)::batch_gemv_row_continuous_kernel<__half, (musa::dnn::AlignAttr)1, 128, 64, 1024, false, true, 128>(__half*, __half const*, __half const*, __half const*, __half const*, int, int, int, int, long, int, long, int, long, int, long, float, float, float)	0	0	7253	145433	X
1879	decode	4352586496431.378	1717472.8037109375	4.909	privateuse1_runtime	musaLaunchKernel	31003	31003	7263	145451	X
1880	decode	4352586496497.474	1717538.8999023438	4.606	privateuse1_runtime	musaLaunchKernel	31003	31003	7270	145469	X
1881	decode	4352586496556.325	1717597.7509765625	4.828	privateuse1_runtime	musaLaunchKernel	31003	31003	7279	145475	X
1882	decode	4352586496569.343	1717610.7685546875	7.88	kernel	void musa::dnn::(anonymous namespace)::KernelSwiGlu<__half, musa::dnn::FastDivmodU32>(__half*, __half const*, long, long, musa::dnn::FastDivmodU32)	0	0	7263	145451	X
1883	decode	4352586496578.743	1717620.1689453125	100.883	kernel	void musa::dnn::(anonymous namespace)::batch_gemv_row_continuous_kernel<__half, (musa::dnn::AlignAttr)1, 256, 32, 1024, false, true, 128>(__half*, __half const*, __half const*, __half const*, __half const*, int, int, int, int, long, int, long, int, long, int, long, float, float, float)	0	0	7270	145469	X
1884	decode	4352586496623.108	1717664.5336914062	4.326	privateuse1_runtime	musaLaunchKernel	31003	31003	7285	145492	X
1885	decode	4352586496682.267	1717723.6928710938	9.16	kernel	void LayerNormGlobalKernelVlen<__half, float, 1024, 1, 8>(__half*, __half*, __half const*, unsigned long, unsigned long, float)	0	0	7279	145475	X
1886	decode	4352586496693.187	1717734.6127929688	40.641	kernel	void musa::dnn::(anonymous namespace)::batch_gemv_row_continuous_kernel<__half, (musa::dnn::AlignAttr)1, 128, 64, 1024, false, true, 128>(__half*, __half const*, __half const*, __half const*, __half const*, int, int, int, int, long, int, long, int, long, int, long, float, float, float)	0	0	7285	145492	X
1887	decode	4352586496711.913	1717753.3388671875	5.192	privateuse1_runtime	musaLaunchKernel	31003	31003	7301	145520	X
1888	decode	4352586496736.428	1717777.8540039062	8.721	kernel	void musa::dnn::LayerNormGlobalKernelVlen<__half, float, __half, float, 64, 1, 8, (musa::dnn::NormType)1, false>(__half*, float*, float*, __half const*, __half const*, __half const*, unsigned long, unsigned long, float, float)	0	0	7301	145520	X
1889	decode	4352586496801.351	1717842.7768554688	4.083	privateuse1_runtime	musaLaunchKernel	31003	31003	7308	145548	X
1890	decode	4352586496845.512	1717886.9379882812	5.84	kernel	void musa::dnn::LayerNormGlobalKernelVlen<__half, float, __half, float, 64, 1, 8, (musa::dnn::NormType)1, false>(__half*, float*, float*, __half const*, __half const*, __half const*, unsigned long, unsigned long, float, float)	0	0	7308	145548	X
1891	decode	4352586497030.065	1718071.4907226562	5.792	privateuse1_driver	muLaunchKernel	31003	31003	7320	145569	X
1892	decode	4352586497074.36	1718115.7856445312	9.76	kernel	triton_poi_fused_add_cat_index_select_mul_split_sub_unsqueeze_view_0	0	0	7320	145569	X
1893	decode	4352586497075.642	1718117.0678710938	4.108	privateuse1_driver	muLaunchKernel	31003	31003	7322	145585	X
1894	decode	4352586497092.92	1718134.345703125	8.081	kernel	triton_poi_fused_add_cat_index_select_mul_split_sub_unsqueeze_view_1	0	0	7322	145585	X
1895	decode	4352586497247.548	1718288.9736328125	6.138	privateuse1_runtime	musaLaunchKernel	31003	31003	7331	145600	X
1896	decode	4352586497276.741	1718318.1669921875	4.415	privateuse1_runtime	musaLaunchKernel	31003	31003	7337	145609	X
