type	domain	name	calls	total_us	avg_us	max_us
kernel	concurrent_kernel	_ZN4musa3dnn6binary19kernel_binary_vlen1IfNS1_5MulOpEfNS0_12DeviceTensorIjNS0_13FastDivmodU32EEEffEEvT2_S7_S7_lT1_S8_PKvSA_NS0_9ParamTypeESB_fff	2	57.523	28.762	47.682
kernel	concurrent_kernel	_ZN4musa3dnn12_GLOBAL__N_124KernelConcatLastSmallDimIiLi2ELi4ELb0ENS0_13FastDivmodU32ELi128EEEvPT_NS1_10ArrayInputIS4_EENS0_5ArrayIT3_XT0_EEEllliiii	2	51.602	25.801	36.482
kernel	concurrent_kernel	_ZN4musa3dnn5unary12kernel_unaryIlNS1_5AddOpElllLi128EEEvPT2_PKT_mT1_S9_PKvSB_NS0_9ParamTypeESC_fff	14	48.241	3.446	4.200
kernel	concurrent_kernel	_ZN4musa3dnn5unary12kernel_unaryIlNS1_10IdentityOpElllLi128EEEvPT2_PKT_mT1_S9_PKvSB_NS0_9ParamTypeESC_fff	14	40.962	2.926	3.841
kernel	concurrent_kernel	_ZN4musa3dnn21ScanPartSumShflKernelIillNS0_6ScanOpINS0_12DeviceTensorIjNS0_13FastDivmodU32EEEillLNS0_8ScanModeE0ELNS0_10ScanOpTypeE0EEELi1024ES5_Li1EEEvPvS9_T4_liT0_	6	31.760	5.293	6.000
kernel	concurrent_kernel	_ZN4musa3dnn12_GLOBAL__N_114KernelConcatNyIsLi2ELi8ELb0ENS0_13FastDivmodU32ELb1EEEvPT_NS1_10ArrayInputIS4_EENS0_5ArrayIT3_XT0_EEENS8_IiXT0_EEElll	1	26.161	26.161	26.161
api	driver	muDeviceGetAttribute	111	25.481	0.230	2.989
kernel	concurrent_kernel	_ZN4musa3dnn5unary12kernel_unaryIfNS1_6CastOpEf6__halffLi128EEEvPT2_PKT_mT1_SA_PKvSC_NS0_9ParamTypeESD_fff	2	23.720	11.860	18.720
kernel	concurrent_kernel	triton_poi_fused_clamp_sub_0	14	22.880	1.634	1.920
kernel	concurrent_kernel	_ZN4musa3dnn5unary12kernel_unaryIfNS1_5SinOpEfffLi128EEEvPT2_PKT_mT1_S9_PKvSB_NS0_9ParamTypeESC_fff	2	22.561	11.280	17.881
kernel	concurrent_kernel	_ZN4musa3dnn5unary12kernel_unaryIfNS1_5CosOpEfffLi128EEEvPT2_PKT_mT1_S9_PKvSB_NS0_9ParamTypeESC_fff	2	22.441	11.221	16.681
kernel	concurrent_kernel	_ZN4musa3dnn6binary13kernel_binaryIfNS1_5PowOpEfffLi128EEEvPT3_PKT_PKT2_lT1_SC_PKvSE_NS0_9ParamTypeESF_fff	1	18.760	18.760	18.760
api	driver	muMemAddressReserve	2	16.756	8.378	12.697
kernel	concurrent_kernel	_ZN4musa3dnn5unary12kernel_unaryIlNS1_5SubOpElllLi128EEEvPT2_PKT_mT1_S9_PKvSB_NS0_9ParamTypeESC_fff	4	14.322	3.580	4.281
kernel	concurrent_kernel	_ZN2at6native12_GLOBAL__N_113arange_kernelIlEEvPT_S3_S3_i	3	13.760	4.587	5.800
kernel	concurrent_kernel	musa_asm_hhhhssgemm_nn_tce_128_64x64B128_epilogue_stage4_btmenc	1	11.520	11.520	11.520
kernel	concurrent_kernel	write_req_to_token_pool_triton	2	11.120	5.560	6.440
kernel	concurrent_kernel	_ZN2at6native12_GLOBAL__N_121IndexVectorizedKernelIZNS1_14GPUIndexKernelIN3c104HalfELi1ELb1ELi3ELb0ELNS1_17IndexKernelIOTypeE0EEEvRNS_18TensorIteratorBaseENS4_8ArrayRefIlEESA_EUljjjE_ZNS3_IS5_Li1ELb1ELi3ELb0ELS6_0EEEvS8_SA_SA_EUljjjE0_EEvllliT_T0_	2	10.440	5.220	6.200
